Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SLC12A3","Solute Carrier Family 12 Member 3","Protein Coding","P55017","59","GC16P056865","15.9005146026611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A3"
"CTSA","Cathepsin A","Protein Coding","P10619","60","GC20P045890","15.8999805450439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSA"
"NEU1","Neuraminidase 1","Protein Coding","Q99519","59","GC06M031857","15.8872661590576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEU1"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","15.8542451858521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"BCHE","Butyrylcholinesterase","Protein Coding","P06276","62","GC03M165772","15.839469909668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCHE"
"PHGDH","Phosphoglycerate Dehydrogenase","Protein Coding","O43175","63","GC01P119674","15.7864532470703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHGDH"
"SREBF1","Sterol Regulatory Element Binding Transcription Factor 1","Protein Coding","P36956","61","GC17M017810","15.7737007141113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF1"
"ALDOA","Aldolase, Fructose-Bisphosphate A","Protein Coding","P04075","62","GC16P030064","15.771445274353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOA"
"MPI","Mannose Phosphate Isomerase","Protein Coding","P34949","56","GC15P074890","15.763879776001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPI"
"GNMT","Glycine N-Methyltransferase","Protein Coding","Q14749","56","GC06P042960","15.7109270095825","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNMT"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","62","GC17M027756","15.6695690155029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"COX4I1","Cytochrome C Oxidase Subunit 4I1","Protein Coding","P13073","58","GC16P085798","15.6004543304443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX4I1"
"PRDX1","Peroxiredoxin 1","Protein Coding","Q06830","62","GC01M045828","15.5483913421631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX1"
"MT-RNR1","Mitochondrially Encoded 12S RRNA","RNA Gene","A0A0C5B5G6","25","GCMTP000642","15.5312223434448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR1"
"ATP5F1A","ATP Synthase F1 Subunit Alpha","Protein Coding","P25705","59","GC18M046081","15.4870634078979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1A"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","65","GC05P068215","15.4734268188477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"DNM1L","Dynamin 1 Like","Protein Coding","O00429","61","GC12P032679","15.4172840118408","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L"
"LOC101928371","Uncharacterized LOC101928371","RNA Gene","","18","GC02P089713","15.3786811828613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101928371"
"APOA2","Apolipoprotein A2","Protein Coding","P02652","58","GC01M161222","15.3761043548584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA2"
"MT-ATP6","Mitochondrially Encoded ATP Synthase Membrane Subunit 6","Protein Coding","P00846","43","GCMTP008531","15.3530740737915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP6"
"PEX1","Peroxisomal Biogenesis Factor 1","Protein Coding","O43933","57","GC07M092487","15.3446750640869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX1"
"APOA4","Apolipoprotein A4","Protein Coding","P06727","54","GC11M116820","15.3276510238647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA4"
"PDHX","Pyruvate Dehydrogenase Complex Component X","Protein Coding","O00330","59","GC11P034894","15.2983541488647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHX"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","P14672","59","GC17P132635","15.2944927215576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"POMC","Proopiomelanocortin","Protein Coding","P01189","61","GC02M025160","15.2596673965454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"TYRP1","Tyrosinase Related Protein 1","Protein Coding","P17643","58","GC09P012683","15.2215843200684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYRP1"
"PYGL","Glycogen Phosphorylase L","Protein Coding","P06737","58","GC14M050857","15.1898832321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGL"
"FTH1","Ferritin Heavy Chain 1","Protein Coding","P02794","63","GC11M061959","15.0928115844727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTH1"
"EGF","Epidermal Growth Factor","Protein Coding","P01133","64","GC04P109912","15.0327053070068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"STS","Steroid Sulfatase","Protein Coding","P08842","58","GC0XP007146","15.0282011032104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STS"
"AMT","Aminomethyltransferase","Protein Coding","P48728","55","GC03M054271","15.0079784393311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMT"
"TPI1","Triosephosphate Isomerase 1","Protein Coding","P60174","59","GC12P006867","14.9971513748169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","P10636","62","GC17P045894","14.9810352325439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"MT1E","Metallothionein 1E","Protein Coding","P04732","51","GC16P056625","14.9290218353271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT1E"
"NR1H4","Nuclear Receptor Subfamily 1 Group H Member 4","Protein Coding","Q96RI1","60","GC12P100473","14.8654308319092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H4"
"DMGDH","Dimethylglycine Dehydrogenase","Protein Coding","Q9UI17","52","GC05M078997","14.85169506073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMGDH"
"TFRC","Transferrin Receptor","Protein Coding","P02786","63","GC03M196576","14.8515129089355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"ALG2","ALG2 Alpha-1,3/1,6-Mannosyltransferase","Protein Coding","Q9H553","53","GC09M099216","14.8432140350342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG2"
"EPM2A","EPM2A Glucan Phosphatase, Laforin","Protein Coding","B3EWF7","54","GC06M145382","14.839427947998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPM2A"
"GOT1","Glutamic-Oxaloacetic Transaminase 1","Protein Coding","P17174","58","GC10M099396","14.8334865570068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOT1"
"FABP1","Fatty Acid Binding Protein 1","Protein Coding","P07148","55","GC02M088122","14.8145618438721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP1"
"CYCS","Cytochrome C, Somatic","Protein Coding","P99999","61","GC07M025118","14.7984962463379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"AHR","Aryl Hydrocarbon Receptor","Protein Coding","P35869","60","GC07P016916","14.7781600952148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR"
"CEL","Carboxyl Ester Lipase","Protein Coding","P19835","58","GC09P133061","14.7767238616943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEL"
"SLC5A1","Solute Carrier Family 5 Member 1","Protein Coding","P13866","59","GC22P032043","14.7676525115967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A1"
"NAT2","N-Acetyltransferase 2","Protein Coding","P11245","55","GC08P018391","14.7596912384033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAT2"
"PKM","Pyruvate Kinase M1/2","Protein Coding","P14618","62","GC15M072199","14.7454032897949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKM"
"LAMP2","Lysosomal Associated Membrane Protein 2","Protein Coding","P13473","57","GC0XM120426","14.7264518737793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P134223","14.7078380584717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","Q07954","61","GC12P057128","14.6656064987183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"COA6","Cytochrome C Oxidase Assembly Factor 6","Protein Coding","Q5JTJ3","50","GC01P234374","14.664722442627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA6"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","54","GC17P007613","14.6642818450928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","58","GC11M013431","14.6597890853882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"UGT1A9","UDP Glucuronosyltransferase Family 1 Member A9","Protein Coding","O60656","57","GC02P233671","14.6394128799438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A9"
"PDHB","Pyruvate Dehydrogenase E1 Subunit Beta","Protein Coding","P11177","59","GC03M058464","14.5374088287354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHB"
"SCP2","Sterol Carrier Protein 2","Protein Coding","P22307","58","GC01P052927","14.5299434661865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCP2"
"PHKA1","Phosphorylase Kinase Regulatory Subunit Alpha 1","Protein Coding","P46020","54","GC0XM072578","14.5153369903564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHKA1"
"ABCB4","ATP Binding Cassette Subfamily B Member 4","Protein Coding","P21439","59","GC07M087365","14.5069580078125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB4"
"ALDH9A1","Aldehyde Dehydrogenase 9 Family Member A1","Protein Coding","P49189","54","GC01M165690","14.5068855285645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH9A1"
"PPIG","Peptidylprolyl Isomerase G","Protein Coding","Q13427","52","GC02P169584","14.4945278167725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIG"
"COQ2","Coenzyme Q2, Polyprenyltransferase","Protein Coding","Q96H96","52","GC04M083261","14.4943656921387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ2"
"AR","Androgen Receptor","Protein Coding","P10275","65","GC0XP067544","14.4934072494507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","P43490","60","GC07M106248","14.4886140823364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"FOXO1","Forkhead Box O1","Protein Coding","Q12778","64","GC13M040555","14.4562244415283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO1"
"AASS","Aminoadipate-Semialdehyde Synthase","Protein Coding","Q9UDR5","54","GC07M122073","14.4456348419189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS"
"BCO1","Beta-Carotene Oxygenase 1","Protein Coding","Q9HAY6","50","GC16P081238","14.4359426498413","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCO1"
"BACE1","Beta-Secretase 1","Protein Coding","P56817","59","GC11M117285","14.3702392578125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1"
"SARDH","Sarcosine Dehydrogenase","Protein Coding","Q9UL12","55","GC09M133663","14.3130807876587","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SARDH"
"CCDC22","Coiled-Coil Domain Containing 22","Protein Coding","O60826","52","GC0XP059315","14.2669048309326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC22"
"ABCB7","ATP Binding Cassette Subfamily B Member 7","Protein Coding","O75027","57","GC0XM075053","14.2528047561646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB7"
"CYB5R3","Cytochrome B5 Reductase 3","Protein Coding","P00387","57","GC22M081606","14.2525415420532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R3"
"FA2H","Fatty Acid 2-Hydroxylase","Protein Coding","Q7L5A8","57","GC16M074712","14.2249708175659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FA2H"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","66","GC07M140783","14.213604927063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"AOC4P","Amine Oxidase Copper Containing 4, Pseudogene","Pseudogene","","17","GC17P133804","14.2082710266113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC4P"
"ACO2","Aconitase 2","Protein Coding","Q99798","58","GC22P081624","14.1985139846802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO2"
"LIPT1","Lipoyltransferase 1","Protein Coding","Q9Y234","51","GC02P099262","14.1745185852051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPT1"
"PPOX","Protoporphyrinogen Oxidase","Protein Coding","P50336","56","GC01P170788","14.1736469268799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPOX"
"ANPEP","Alanyl Aminopeptidase, Membrane","Protein Coding","P15144","62","GC15M089784","14.171576499939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANPEP"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","14.1173114776611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"LBR","Lamin B Receptor","Protein Coding","Q14739","59","GC01M225401","14.1017265319824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBR"
"CYP4F2","Cytochrome P450 Family 4 Subfamily F Member 2","Protein Coding","P78329","56","GC19M015878","14.0929613113403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP4F2"
"CA2","Carbonic Anhydrase 2","Protein Coding","P00918","64","GC08P085463","14.0684499740601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA2"
"ALOX5","Arachidonate 5-Lipoxygenase","Protein Coding","P09917","62","GC10P045374","14.0652914047241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5"
"ADH1B","Alcohol Dehydrogenase 1B (Class I), Beta Polypeptide","Protein Coding","P00325","57","GC04M099304","14.0550403594971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH1B"
"STEAP3","STEAP3 Metalloreductase","Protein Coding","Q658P3","57","GC02P148662","13.9735107421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STEAP3"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","P08833","55","GC07P050144","13.9675350189209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","60","GC01P060126","13.9426708221436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056381","13.941822052002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"MT3","Metallothionein 3","Protein Coding","P25713","52","GC16P056589","13.9202976226807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT3"
"COX6B1","Cytochrome C Oxidase Subunit 6B1","Protein Coding","P14854","55","GC19P132923","13.9001598358154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6B1"
"NPPA","Natriuretic Peptide A","Protein Coding","P01160","57","GC01M019842","13.8666858673096","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA"
"TALDO1","Transaldolase 1","Protein Coding","P37837","59","GC11P014054","13.844331741333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TALDO1"
"SLC25A12","Solute Carrier Family 25 Member 12","Protein Coding","O75746","59","GC02M171783","13.8305892944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A12"
"PRKAB1","Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 1","Protein Coding","Q9Y478","59","GC12P119667","13.8286924362183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAB1"
"GYG1","Glycogenin 1","Protein Coding","P46976","58","GC03P148991","13.8272752761841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYG1"
"ACAA2","Acetyl-CoA Acyltransferase 2","Protein Coding","P42765","54","GC18M049782","13.8161420822144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAA2"
"HP","Haptoglobin","Protein Coding","P00738","58","GC16P106129","13.7671775817871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP"
"ATAD3A","ATPase Family AAA Domain Containing 3A","Protein Coding","Q9NVI7","52","GC01P059876","13.7623376846313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATAD3A"
"TRMU","TRNA Mitochondrial 2-Thiouridylase","Protein Coding","O75648","51","GC22P046330","13.7557344436646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMU"
"AFP","Alpha Fetoprotein","Protein Coding","P02771","59","GC04P073431","13.6968879699707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFP"
"FXN","Frataxin","Protein Coding","Q16595","59","GC09P069035","13.6572389602661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXN"
"CCK","Cholecystokinin","Protein Coding","P06307","54","GC03M042274","13.6566324234009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M013218","13.6172351837158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"DNMT1","DNA Methyltransferase 1","Protein Coding","P26358","65","GC19M010133","13.6056032180786","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"UQCRC2","Ubiquinol-Cytochrome C Reductase Core Protein 2","Protein Coding","P22695","58","GC16P104592","13.5894937515259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRC2"
"PHKB","Phosphorylase Kinase Regulatory Subunit Beta","Protein Coding","Q93100","55","GC16P105306","13.5891790390015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHKB"
"NAGA","Alpha-N-Acetylgalactosaminidase","Protein Coding","P17050","58","GC22M042058","13.5881805419922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGA"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","62","GC01M058780","13.5667057037354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"IAPP","Islet Amyloid Polypeptide","Protein Coding","P10997","52","GC12P021354","13.5522174835205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IAPP"
"CTNS","Cystinosin, Lysosomal Cystine Transporter","Protein Coding","O60931","56","GC17P003636","13.5517082214355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNS"
"GYS2","Glycogen Synthase 2","Protein Coding","P54840","58","GC12M033246","13.5504064559937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS2"
"DAO","D-Amino Acid Oxidase","Protein Coding","P14920","58","GC12P108881","13.5442171096802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAO"
"HEPH","Hephaestin","Protein Coding","Q9BQS7","52","GC0XP066162","13.5236873626709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEPH"
"LEPQTL1","Leptin, Serum Levels Of","Genetic Locus","","11","GC02U903086","13.5166835784912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1"
"SLC39A14","Solute Carrier Family 39 Member 14","Protein Coding","Q15043","56","GC08P022367","13.5165386199951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A14"
"MB","Myoglobin","Protein Coding","P02144","58","GC22M035606","13.5094566345215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MB"
"ALDH1B1","Aldehyde Dehydrogenase 1 Family Member B1","Protein Coding","P30837","56","GC09P038392","13.4958543777466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1B1"
"F9","Coagulation Factor IX","Protein Coding","P00740","60","GC0XP139530","13.4938840866089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F9"
"NFU1","NFU1 Iron-Sulfur Cluster Scaffold","Protein Coding","Q9UMS0","54","GC02M069395","13.4813079833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFU1"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","O14521","57","GC11P112740","13.4691486358643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"HK2","Hexokinase 2","Protein Coding","P52789","58","GC02P075207","13.4478549957275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK2"
"CLPB","ClpB Family Mitochondrial Disaggregase","Protein Coding","Q9H078","56","GC11M133042","13.4473705291748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPB"
"TYMS","Thymidylate Synthetase","Protein Coding","P04818","62","GC18P000657","13.4232835769653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMS"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","Q06124","66","GC12P112418","13.4134216308594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"AGT","Angiotensinogen","Protein Coding","P01019","62","GC01M230690","13.3630657196045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"ADRB3","Adrenoceptor Beta 3","Protein Coding","P13945","55","GC08M037962","13.3625164031982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3"
"LCT","Lactase","Protein Coding","P09848","55","GC02M135787","13.3514833450317","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCT"
"SLC39A8","Solute Carrier Family 39 Member 8","Protein Coding","Q9C0K1","56","GC04M102252","13.3384532928467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A8"
"CS","Citrate Synthase","Protein Coding","O75390","58","GC12M056271","13.3297624588013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CS"
"ALG1","ALG1 Chitobiosyldiphosphodolichol Beta-Mannosyltransferase","Protein Coding","Q9BT22","57","GC16P005033","13.3079833984375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG1"
"COX10","Cytochrome C Oxidase Assembly Factor Heme A:Farnesyltransferase COX10","Protein Coding","Q12887","55","GC17P014069","13.3011331558228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX10"
"SCARB1","Scavenger Receptor Class B Member 1","Protein Coding","Q8WTV0","60","GC12M124776","13.2980928421021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1"
"ALAS2","5'-Aminolevulinate Synthase 2","Protein Coding","P22557","59","GC0XM055009","13.2882528305054","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS2"
"NT5E","5'-Nucleotidase Ecto","Protein Coding","P21589","65","GC06P085449","13.2790384292603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5E"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","13.2612590789795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"ZMPSTE24","Zinc Metallopeptidase STE24","Protein Coding","O75844","53","GC01P040258","13.2191886901855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMPSTE24"
"ALG8","ALG8 Alpha-1,3-Glucosyltransferase","Protein Coding","Q9BVK2","55","GC11M133217","13.2075443267822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG8"
"COASY","Coenzyme A Synthase","Protein Coding","Q13057","57","GC17P042561","13.1611242294312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COASY"
"AHSG","Alpha 2-HS Glycoprotein","Protein Coding","P02765","57","GC03P186673","13.1588697433472","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHSG"
"FDX2","Ferredoxin 2","Protein Coding","Q6P4F2","47","GC19M100264","13.1477689743042","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDX2"
"CAVIN1","Caveolae Associated Protein 1","Protein Coding","Q6NZI2","54","GC17M089365","13.0755023956299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAVIN1"
"ATP6V1E1","ATPase H+ Transporting V1 Subunit E1","Protein Coding","P36543","58","GC22M017592","13.0692625045776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1E1"
"MC4R","Melanocortin 4 Receptor","Protein Coding","P32245","58","GC18M060371","13.0427694320679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R"
"ALG6","ALG6 Alpha-1,3-Glucosyltransferase","Protein Coding","Q9Y672","52","GC01P063367","13.0371541976929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG6"
"SLC25A1","Solute Carrier Family 25 Member 1","Protein Coding","P53007","58","GC22M020411","13.0251083374023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A1"
"TFAP2A","Transcription Factor AP-2 Alpha","Protein Coding","P05549","61","GC06M010393","12.9941072463989","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A"
"OGDH","Oxoglutarate Dehydrogenase","Protein Coding","Q02218","60","GC07P044606","12.9683494567871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGDH"
"FABP2","Fatty Acid Binding Protein 2","Protein Coding","P12104","54","GC04M119317","12.9681062698364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP2"
"MAOB","Monoamine Oxidase B","Protein Coding","P27338","56","GC0XM043766","12.9592123031616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOB"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","62","GC11M113409","12.9523830413818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"LRP2","LDL Receptor Related Protein 2","Protein Coding","P98164","61","GC02M169127","12.948281288147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","12.940601348877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"BTK","Bruton Tyrosine Kinase","Protein Coding","Q06187","66","GC0XM101349","12.8842277526855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK"
"SC5D","Sterol-C5-Desaturase","Protein Coding","O75845","52","GC11P121292","12.8772735595703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SC5D"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","61","GC17P034255","12.8765678405762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"COX15","Cytochrome C Oxidase Assembly Homolog COX15","Protein Coding","Q7KZN9","54","GC10M099696","12.8654451370239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX15"
"SRD5A3","Steroid 5 Alpha-Reductase 3","Protein Coding","Q9H8P0","53","GC04P055346","12.8551969528198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A3"
"ATP1A1","ATPase Na+/K+ Transporting Subunit Alpha 1","Protein Coding","P05023","62","GC01P116372","12.8534679412842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1"
"ATP5F1D","ATP Synthase F1 Subunit Delta","Protein Coding","P30049","52","GC19P131839","12.8529233932495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1D"
"NHLRC1","NHL Repeat Containing E3 Ubiquitin Protein Ligase 1","Protein Coding","Q6VVB1","52","GC06M018120","12.8524732589722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHLRC1"
"C3","Complement C3","Protein Coding","P01024","62","GC19M006677","12.8488712310791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
